"GU","CODE","GRDP","MANU","TRANS","HEALTH","TOTAL_POP"
"종로구","11110",32080851,607601,858933,1628469,146891
"중구","11140",66976493,1357110,1703333,670372,124819
"용산구","11170",17225974,285124,348248,458742,218951
"성동구","11200",16182239,1917235,419981,505134,282740
"광진구","11215",7813603,279294,226759,754224,346409
"동대문구","11230",8738870,581707,214198,905332,347808
"중랑구","11260",5202430,431369,292938,626097,380540
"성북구","11290",6315793,198476,166227,735350,435613
"강북구","11305",4021048,133599,205383,408434,288916
"도봉구","11320",3593766,124673,191368,427344,305642
"노원구","11350",7252948,200562,284036,997380,498182
"은평구","11380",5721931,114859,214224,834446,457398
"서대문구","11410",8530259,114445,207623,1070080,316135
"마포구","11440",22112821,393234,1315675,636924,362971
"양천구","11470",8116361,212090,400410,718809,428903
"강서구","11500",19928773,684625,1873498,1488966,557793
"구로구","11530",16602101,1782162,444390,851120,422716
"금천구","11545",20429190,4250715,548648,361658,247305
"영등포구","11560",46819949,1078160,1118337,1171573,399946
"동작구","11590",7335497,59152,93493,869240,387889
"관악구","11620",6383565,184054,145431,584120,494347
"서초구","11650",38797767,926581,971115,2057385,383939
"강남구","11680",86135184,3117411,1381458,4631770,499817
"송파구","11710",32025589,924059,945384,2250218,637016
"강동구","11740",10004854,234135,265357,1220779,448729
